"description","direction","interface","left","right","type","uuid"
"Store Mementos (5 files) --Files-> Compare Files (1.3 commons-io)","Normal","6cdb7cd7-9ef9-4715-adf3-e1552280dec6","d69a03a3-2751-4470-836f-7802b93a2a7f","73548a7a-8528-45ea-8444-b67fda21c2da","Files","8621deb2-83b1-435a-9101-61cc486bfc66"
"Model Mementos (2 beans) <-Beans-> Model System (7 model)","Both","b68aadb9-b902-42ab-ab9a-d47857d1384c","d43ab53b-a6c5-4aac-8196-90d33b1d1413","123428d0-3e1c-4dde-99d5-3257443d6302","Beans","9e4b915f-fff7-44b1-a3e6-b3995d229ef4"
"Index Model (8 relation) <-Relations-> Model Application State (1 baselines)","Both","0a715e83-9a98-4274-8bdb-fb35e9295622","996312f0-6453-4dee-89a1-185767761f19","2cdf8884-09af-4e3b-b6fa-63291e506067","Relations","b93d571a-490a-4dcb-b43b-0508aa9d3035"
"Model Application State (1 baselines) --Application State-> Modify Model (6 fxml)","Reverse","d82a232d-31af-4bdf-a5a8-a9f0b0942f75","059020e6-234e-4095-823a-555fc8feb7a7","2cdf8884-09af-4e3b-b6fa-63291e506067","Application State","c3a99155-13f4-473f-9085-6ec131f36cfe"
"Resolve Inconsistency (4 consistency) --Solutions-> Modify Model (6 fxml)","Reverse","8ce96c88-12f9-450c-be46-8ce92e921ee0","059020e6-234e-4095-823a-555fc8feb7a7","7fa654d4-e6f5-4d10-b3c5-95dff1f87758","Solutions","c5f5f9c8-c30f-42a1-b558-7864cbc0abb8"
"Compare Files (1.3 commons-io) --boolean-> Store Mementos (5 files)","Reverse","6cdb7cd7-9ef9-4715-adf3-e1552280dec6","d69a03a3-2751-4470-836f-7802b93a2a7f","73548a7a-8528-45ea-8444-b67fda21c2da","boolean","cb9fa101-5db4-4216-8edf-58a06fa9e28e"
"Model Application State (1 baselines) --Relations-> Resolve Inconsistency (4 consistency)","Normal","995798df-b7c1-4239-a93b-f9a5a2856db3","2cdf8884-09af-4e3b-b6fa-63291e506067","7fa654d4-e6f5-4d10-b3c5-95dff1f87758","Relations","dd5d96d5-efe9-4814-a74c-a67d26bb7085"
"Model System (7 model) <-Relations-> Model Application State (1 baselines)","Both","cd1ae526-e7b8-4979-ab1a-f8862ca7648b","123428d0-3e1c-4dde-99d5-3257443d6302","2cdf8884-09af-4e3b-b6fa-63291e506067","Relations","e7ad71a4-0ad4-4461-8502-8e9805cd211b"
"Modify Model (6 fxml) --Modifications-> Model Application State (1 baselines)","Normal","d82a232d-31af-4bdf-a5a8-a9f0b0942f75","059020e6-234e-4095-823a-555fc8feb7a7","2cdf8884-09af-4e3b-b6fa-63291e506067","Modifications","fe336cf3-02d2-4953-8193-36d363be4ba5"
"Input Model (5 Runtime User) <-User Interaction-> Modify Model (6 fxml)","Both","fc2870cb-9ab1-44ea-aad0-2c5f86fbdaf1","d5ebb853-799a-4e1b-bc88-1a3b8150f4f8","059020e6-234e-4095-823a-555fc8feb7a7","User Interaction","0e63dc9f-2306-46eb-8908-a59568db72b9"
"Resolve Inconsistency (4 consistency) --Problems-> Modify Model (6 fxml)","Reverse","8ce96c88-12f9-450c-be46-8ce92e921ee0","059020e6-234e-4095-823a-555fc8feb7a7","7fa654d4-e6f5-4d10-b3c5-95dff1f87758","Problems","108d9eda-181b-4686-b0da-01cf1d0a055e"
"Store Mementos (5 files) <-CSV Files-> Store Files (3 Runtime Filesystem)","Both","8f66f49c-ce63-4958-835f-27913c5149b8","d69a03a3-2751-4470-836f-7802b93a2a7f","7d182653-479e-421f-9491-3ac2b863b62b","CSV Files","1837f7a0-f3e3-4953-9ac5-616045a22824"
"Process CSV (1.4 opencsv) <-CSV Data-> Store Mementos (5 files)","Both","0e1b7a1b-2a76-4aab-b7bd-0f6221d6bef2","bc7ee126-2008-4049-ad69-1f0c67146036","d69a03a3-2751-4470-836f-7802b93a2a7f","CSV Data","20851dde-1143-4392-aa67-5d7c194a1030"
"Model Mementos (2 beans) <-Beans-> Store Mementos (5 files)","Both","ef8159d9-b387-4882-8850-125fa3df174d","d43ab53b-a6c5-4aac-8196-90d33b1d1413","d69a03a3-2751-4470-836f-7802b93a2a7f","Beans","5f2169d2-c1df-4d22-88df-c672def6cef4"
